lat,lon,d,v,s,h
48.4903,-102.92662,1,0,0,0
48.15563,-102.8957,0,0,0,1
48.54458,-102.87818,1,0,0,0
48.08309,-102.91796,1,0,0,0
48.27504,-102.99237,1,0,0,0
48.49029,-102.9157,1,0,0,0
48.55906,-102.85628,1,0,0,0
48.45045,-102.80169,1,0,0,0
48.3402,-102.93937,1,0,0,0
48.25688,-102.9979,1,0,0,0
48.42862,-102.89919,1,0,0,0
48.50112,-102.85629,1,0,0,0
48.25312,-102.98181,1,0,0,0
48.45433,-102.77443,1,0,0,0
48.25273,-101.15223,1,0,0,0
46.78053,-103.1871,1,0,0,0
46.86332,-103.29731,1,0,0,0
48.97008,-100.02756,1,0,0,0
48.53724,-102.87809,0,0,0,1
48.50838,-102.81269,1,0,0,0
47.64459,-100.33389,1,0,0,0
48.39604,-102.89382,1,0,0,0
48.48667,-102.8671,0,0,0,1
48.1122,-102.87401,1,0,0,0
48.33294,-102.94905,1,0,0,0
48.4178,-102.92634,1,0,0,0
48.48668,-102.93207,1,0,0,0
48.28952,-102.91751,1,0,0,0
48.26419,-102.92833,1,0,0,0
48.43212,-102.89438,1,0,0,0
48.89436,-100.15793,1,0,0,0
48.50115,-102.82353,1,0,0,0
48.22395,-102.95472,1,0,0,0
48.30038,-102.97072,1,0,0,0
48.27144,-103.00864,1,0,0,0
48.11583,-102.87939,1,0,0,0
47.44529,-100.41411,1,0,0,0
48.55906,-103.01331,1,0,0,0
48.98999,-100.82205,1,0,0,0
48.09056,-102.91733,1,0,0,0
48.50828,-102.91025,1,0,0,0
48.60486,-99.81151,1,0,0,0
48.49028,-102.86167,1,0,0,0
48.45407,-102.79622,1,0,0,0
48.19909,-102.98177,1,0,0,0
48.40155,-99.64765,1,0,0,0
48.1619,-102.88495,1,0,0,0
48.99362,-100.83824,1,0,0,0
48.27503,-102.9446,1,0,0,0
48.27864,-102.9446,1,0,0,0
48.36561,-102.90167,1,0,0,0
48.52511,-99.991,1,0,0,0
48.45766,-102.92108,1,0,0,0
48.52277,-102.89926,0,0,0,1
48.43589,-102.87744,1,0,0,0
48.54309,-99.67511,1,0,0,0
48.51554,-102.9102,1,0,0,0
48.30398,-102.96527,1,0,0,0
48.27905,-102.92833,1,0,0,0
48.23882,-102.93384,0,0,0,1
48.2569,-102.93981,1,0,0,0
48.28227,-102.92291,1,0,0,0
48.38882,-102.88297,1,0,0,0
48.5336,-102.8939,1,0,0,0
48.49385,-102.81264,1,0,0,0
48.54455,-102.86718,1,0,0,0
48.47219,-102.86709,1,0,0,0
48.29315,-102.97581,1,0,0,0
48.3185,-102.89592,1,0,0,0
48.17006,-102.91733,1,0,0,0
48.2134,-102.98174,1,0,0,0
47.38421,-102.30388,1,0,0,0
48.56621,-102.80708,1,0,0,0
48.4541,-102.80711,1,0,0,0
46.85242,-103.2919,1,0,0,0
46.85609,-103.29725,1,0,0,0
48.35476,-102.907,1,5,0,0
48.2859,-102.92291,1,0,0,0
48.50836,-102.79083,1,0,0,0
48.3924,-102.91008,1,0,0,0
48.27502,-103.00322,1,0,0,0
48.45404,-102.86154,1,0,0,0
48.50113,-102.80173,1,0,0,0
48.4649,-102.86704,1,0,0,0
48.40327,-102.90463,1,0,0,0
48.54095,-102.88332,1,0,0,0
48.51193,-102.85125,1,0,0,0
48.76377,-99.78576,1,0,0,0
48.98748,-100.99557,1,0,0,0
48.1955,-102.98718,1,0,0,0
48.20968,-102.87943,1,0,0,0
48.24604,-102.93922,1,0,0,0
48.45765,-102.86764,1,0,0,0
48.10474,-102.89532,1,0,0,0
47.96509,-102.70458,1,0,0,0
47.28887,-100.39193,1,0,0,0
48.21699,-102.9763,1,0,0,0
48.08701,-102.94424,1,0,0,0
48.10864,-102.89031,1,0,0,0
48.16545,-100.66637,1,0,0,0
48.38518,-102.88841,1,0,0,0
48.75034,-101.2098,1,0,0,0
48.99361,-100.82207,1,0,0,0
48.06905,-102.90649,1,0,0,0
48.56269,-103.00827,1,0,0,0
48.11587,-102.90045,1,0,0,0
48.41776,-102.90455,1,0,0,0
48.57359,-103.01333,1,0,0,0
48.09421,-102.93356,1,0,0,0
48.44897,-100.07803,1,0,0,0
48.46853,-102.89399,0,0,0,1
48.49751,-102.79626,1,0,0,0
48.54088,-102.89397,1,0,0,0
48.2027,-102.97634,1,0,0,0
48.20273,-102.98718,1,0,0,0
48.09764,-102.93909,0,0,0,1
48.22797,-102.9601,1,0,0,0
48.30038,-102.91214,1,0,0,0
48.27858,-102.99779,1,0,0,0
48.33296,-102.90685,1,0,0,0
48.22421,-102.96487,1,0,0,0
48.22439,-102.94455,1,0,0,0
47.71211,-102.31357,1,0,0,0
46.86696,-103.30262,1,0,0,0
46.85972,-103.30255,1,0,0,0
48.56267,-102.85083,1,0,0,0
48.98734,-101.01774,1,0,0,0
48.08658,-102.91239,1,0,0,0
48.29314,-102.91211,1,0,0,0
48.50468,-102.91572,1,0,0,0
48.51203,-102.81814,1,0,0,0
48.46497,-102.81261,1,0,0,0
48.46131,-102.79624,1,0,0,0
48.53369,-102.85074,1,0,0,0
48.15214,-102.87952,1,0,0,0
48.94116,-100.07634,1,0,0,0
48.10145,-102.90123,1,0,0,0
48.98751,-100.99007,1,0,0,0
48.47943,-102.86711,1,0,0,0
46.70015,-102.93294,1,0,0,0
48.43951,-102.91552,1,0,0,0
48.30036,-102.9446,1,0,0,0
48.15929,-102.89034,1,0,0,0
48.94979,-101.51574,1,0,0,0
48.77251,-101.6469,1,0,0,0
48.99,-100.82755,1,0,0,0
48.06167,-102.9065,1,0,0,0
48.56628,-102.84533,1,0,0,0
48.5445,-102.99195,1,0,0,0
48.5663,-103.01332,1,0,0,0
48.56998,-103.01832,1,0,0,0
48.3745,-102.88314,1,0,0,0
48.56629,-102.85629,1,0,0,0
47.04111,-102.23192,1,0,0,0
48.98629,-100.81654,1,0,0,0
47.47806,-102.24549,1,0,0,0
48.10122,-102.89041,1,0,0,0
48.55545,-102.86173,1,0,0,0
48.99001,-100.84338,1,0,0,0
48.98389,-100.99009,1,0,0,0
48.98376,-100.98474,1,0,0,0
48.07614,-102.93882,1,0,0,0
48.08337,-102.90649,1,0,0,0
48.90633,-100.77242,1,0,0,0
48.98386,-100.99559,1,0,0,0
48.79466,-102.65887,1,0,0,0
48.99,-100.83239,1,0,0,0
48.98032,-100.98461,1,0,0,0
48.85912,-100.86528,1,0,0,0
48.56997,-103.00831,1,0,0,0
48.29678,-102.90671,1,0,0,0
48.9863,-100.82753,1,0,0,0
48.92444,-100.82202,1,0,0,0
48.98028,-100.99011,1,0,0,0
47.95784,-102.71576,1,0,0,0
48.10833,-102.86863,1,0,0,0
48.46488,-102.89933,1,0,0,0
48.40689,-102.89918,1,0,0,0
46.77245,-103.03886,1,0,0,0
48.43594,-102.86689,1,0,0,0
48.99001,-100.84888,1,0,0,0
48.56265,-102.83993,1,0,0,0
48.09418,-102.91236,1,0,0,0
48.45445,-102.90405,1,0,0,0
48.98748,-101.00107,1,0,0,0
48.97908,-100.83804,1,0,0,0
48.19542,-102.92283,1,0,0,0
47.2499,-103.40085,1,0,0,0
48.3963,-102.90401,1,0,0,0
47.7265,-102.90681,1,0,0,0
48.97546,-100.8324,1,0,0,0
48.57359,-103.00274,1,0,0,0
48.98386,-101.00109,1,0,0,0
48.24611,-102.9231,1,0,0,0
48.9863,-100.82203,1,0,0,0
48.82728,-101.86075,1,0,0,0
48.90992,-100.86537,1,0,0,0
48.46494,-102.80179,1,0,0,0
48.28589,-102.98656,1,0,0,0
48.42138,-102.89916,1,0,0,0
48.55908,-103.00279,1,0,0,0
