GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1007665.0,110006321710,2023.0,GALLIA COUNTY LANDFILL *,497 ROUSH HOLLOW RD,BIDWELL,OH,45614,GALLIA COUNTY,GALLIA COUNTY COMMISSIONERS,18 Locust St.,Gallipolis,OH,45631,100.0,562212
1007666.0,110013982342,2023.0,Southern Sanitation Landfill,478 Coopertown Road,Russellville,KY,42276,LOGAN COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007667.0,110001933132,2023.0,MEADOWFILL LANDFILL,1488 Dawson Drive,BRIDGEPORT,WV,26330,HARRISON COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007668.0,110010060842,2023.0,REDWOOD LANDFILL,8950 REDWOOD HWY,NOVATO,CA,94945,MARIN COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007669.0,110031010260,2023.0,CHICOPEE SANITARY LANDFILL,161 NEW LOMBARD ROAD,CHICOPEE,MA,01020,HAMPDEN COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007670.0,110014407935,2023.0,NEW BOSTON LANDFILL,1030 HIGHWAY 82 WEST,NEW BOSTON,TX,75570,BOWIE COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007671.0,110013327541,2023.0,JAY COUNTY LANDFILL,5825 WEST 400 SOUTH,PORTLAND,IN,47371,JAY COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007672.0,110067986736,2023.0,"ELK RIVER SANITARY LANDFILL, INC.",22460 HIGHWAY 169 NW,ELK RIVER,MN,55330,SHERBURNE COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007673.0,110022726237,2023.0,CENTRAL DISPOSAL SYSTEMS INC,21265 430TH ST,LAKE MILLS,IA,50450,WINNEBAGO COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007674.0,110020504266,2023.0,KING GEORGE LANDFILL INC - WM,10376 BULLOCK DRIVE,KING GEORGE,VA,22485,KING GEORGE COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007677.0,110034162983,2023.0,Lancaster Waste to Energy Facility,1911 River Road,Bainbridge,PA,17502,LANCASTER COUNTY,LANCASTER COUNTY SOILD WASTE MANAGEMENT AUTHORITY,1299 Harrisburg Pike,Lancaster,PA,17604,100.0,562213
1007678.0,110056255118,2023.0,THIELE KAOLIN COMPANY REEDY CREEK PLANT,1735 Thiele Road,WRENS,GA,30833,JEFFERSON COUNTY,THIELE KAOLIN CO,520 Kaolin Rd,Sandersville,GA,31082,100.0,212323
1007679.0,110071159450,2023.0,Russellville Gas Board,1296 Walnut Gate Road,Russellville,AL,35654,FRANKLIN COUNTY,RUSSELLVILLE GAS BOARD,1296 Walnut Gate Road,Russellville,AL,35654,100.0,221210
1007680.0,110070435372,2023.0,BRUNSWICK WASTE MANAGEMENT FACILITY,107 MALLARD CROSSING ROAD,LAWRENCEVILLE,VA,23868,BRUNSWICK COUNTY,REPUBLIC SERVICES INC,18500 N. ALLIED WAY,PHOENIX,AZ,85054,100.0,562212
1007681.0,110010068023,2023.0,Ozark Ridge Landfill,10140 Ozark Ridge Access Lane,Danville,AR,72833,YELL COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007682.0,110001150227,2023.0,AZUSA LAND RECLAMATION CO INC INERT LF,1211 W GLADSTONE ST,AZUSA,CA,91702,LOS ANGELES COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007683.0,110008500700,2023.0,WASTE MANAGEMENT OF TUNICA LANDFILL INC,6035 BOWDRE ROAD,ROBINSONVILLE,MS,38664,TUNICA COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007684.0,110030493357,2023.0,BAYTOWN LANDFILL,4791 TRI CITY BEACH RD,BAYTOWN,TX,77520,HARRIS COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007685.0,110064857061,2023.0,GRANBY SANITARY LANDFILL,11 NEW LUDLOW ROAD,GRANBY,MA,01033,HAMPSHIRE COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007686.0,110060842352,2023.0,SHADE LDFL,1176 NO. 1 ROAD,CAIRNBROOK,PA,15924,SOMERSET COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007687.0,110071160082,2023.0,RIVERBEND LANDFILL CO.,13469 SW HWY. 18,MCMINNVILLE,OR,97128,YAMHILL COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007688.0,110002042138,2023.0,KELLY RUN SANITATION,1500 Hayden Boulevard,ELIZABETH,PA,15037,ALLEGHENY COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007689.0,110001908589,2023.0,USA WASTE OF VIRGINIA LANDFILLS - BETHEL LANDFILL,100 NORTH PARK LANE,HAMPTON,VA,23666,HAMPTON CITY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007690.0,110060998327,2023.0,DICKINSON LANDFILL INC,2575 190TH STREET,SPIRIT LAKE,IA,51360,DICKINSON COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007691.0,110063648904,2023.0,South Hills (Armoni) Landfill,3100 Hill Road,Library,PA,15129,ALLEGHENY COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007692.0,110060064807,2023.0,USA VALLEY FAC INC/VALLEY LDFL,6015 PLEASANT VALLEY RD,IRWIN,PA,15642,WESTMORELAND COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007693.0,110005982339,2023.0,EL SOBRANTE LANDFILL,10910 DAWSON CANYON ROAD,CORONA,CA,92883,RIVERSIDE COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007694.0,110070568584,2023.0,Chevron Oronite Oak Point,10285 Hwy 23 South,Belle Chasse,LA,70037,PLAQUEMINES PARISH,CHEVRON CORP,6001 Bollinger Canyon Road,San Ramon,CA,94583,100.0,325199
1007695.0,110000448132,2023.0,NUCOR STEEL NEBRASKA,2911 EAST NUCOR ROAD,NORFOLK,NE,68701,STANTON COUNTY,NUCOR CORP,"1915 Rexford Road, Suite 400",Charlotte,NC,28211,100.0,331110
1007697.0,110012164497,2023.0,G P GYPSUM SWEETWATER WALLBOARD PLANT,310 FM 1856,SWEETWATER,TX,79556,NOLAN COUNTY,KOCH INDUSTRIES INC,"4111 E 37Th Street North, Wichita,  KS 67220-3298",Wichita,KS,67220-3298,100.0,327420
1007698.0,110000421776,2023.0,3M CO - WAUSAU DOWNTOWN,144 ROSECRANS ST,WAUSAU,WI,54401,MARATHON COUNTY,3M CO,3M Center,St. Paul,MN,55144-1000,100.0,212313
1007699.0,110060864462,2023.0,Altamont Landfill & Resource Recovery Facility,10840 Altamont Pass Road,Livermore,CA,94551,ALAMEDA COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007700.0,110001391690,2023.0,Denver Regional North Landfill,1441 Weld County Rd 6,Erie,CO,80516,WELD COUNTY,REPUBLIC SERVICES INC,18500 N. ALLIED WAY,PHOENIX,AZ,85054,100.0,562212
